Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,value12_13,value13_14,description,source_name,source_url
Treasury & Related Departments,Australian Taxation Office,Australian Charities and Not-for-profits Commission,,,"14,544","15,161",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Product Stewardship for Oil,,,"35,000","47,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Cleaner Fuels Grant Scheme,,,"40,000","43,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Australian Screen Production Incentive,,,"267,000","237,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Research and Development Tax Incentive,,,"1,471,000","1,410,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Private Health Insurance Rebate,,,"206,000","191,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Superannuation Co-contribution Scheme,,,"83,000","138,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Superannuation Guarantee Scheme,,,"328,000","339,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Fuel Tax Credits Scheme,,,"5,519,000","5,871,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,National Rental Affordability Scheme,,,"33,000","130,944",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,First Home Saver Accounts,,,"17,000","19,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Interest on Overpayments and Early Payments,,,"500,000","500,000",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Bad and Doubtful Debts and Remissions,,,"6,782,536","6,985,728",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Low Income Superannuation Contribution (LISC),,,"954,600","975,600",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Baby Bonus Tax Offset,,,"1,000",0,,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Australian Taxation Office,Other Administered,,,"60,000","35,600",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Clean Energy Finance Corporation,,,,"8,409","338,352",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Commonwealth Grants Commission,,,,"6,524","6,509",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Corporations and Markets Advisory Committee,,,,"1,016","1,017",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Inspector General of Taxation,,,,"2,660","2,656",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,National Competition Council,,,,"2,784","2,795",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Office of the Auditing & Assurance Standards Board,,,,"2,337","2,361",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Office of the Australian Accounting Standards Board,,,,"4,728","4,760",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Productivity Commission,,,,"38,452","38,977",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Treasury & Related Departments,Royal Australian Mint,,,,"151,402","152,423",,Treasury Portfolio Budget Statements,http://www.treasury.gov.au/~/media/Treasury/Publications%20and%20Media/Publications/2013/PBS%202013-14/Downloads/PDF/Combined_PBS.ashx
Defence portfolio,Department of Defence,Military Capability,Office of the Secretary and CDF,,"143,470","164,722",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Navy Capabilities,,"4,426,687","4,581,265",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Army Capabilities,,"5,184,520","5,500,657",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Air Force Capabilities,,"4,403,620","4,488,725",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Intelligence Capabilities,,"519,880","538,374",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Support,,"3,949,961","4,081,986",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Chief Information Officer,,"986,635","987,373",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Defence People,,"355,365","452,754",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Science and Technology,,"481,932","462,517",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Vice Chief of the Defence Force,,"1,403,913","1,482,730",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Joint Operations Command,,"46,679","51,053",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Capability Development,,"301,483","970,044",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Chief Finance Officer,,"1,318,058","1,382,865",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Force Superannuation Benefits,,"3,170,146","1,352,344",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Defence Force Superannuation Nominal Interest,,"2,680,039","2,927,644",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Capability,Housing Assistance,,"98,036","106,589",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Operations,Operations Contributing to the Security of the Immediate Neighbourhood,,"168,104","16,685",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Military Operations,Operations Supporting Wider Interests,,"1,251,306","895,675",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Department of Defence,Defence Contribution to National Support Tasks in Australia,,,"9,500","16,933",,Depayment of Defence PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_03_Defence.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Battlespace Communications System (LAND),,0,"152,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Battlefield A irlift - Caribou Replacement,,0,"162,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Multi Role Helicopter,,0,"204,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Future Naval Aviation Combat System Helicopter,,0,"412,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Air Warfare Destroyer Build,,0,"625,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Amphibious Deployment and Sustainment,,0,"203,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Field Vehicles and Trailers - Overlander Program,,0,"235,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Joint Strike Fighter Aircraft,,0,"231,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Acquisition,Other,,3558181,"1,682,552",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,"Explosive Ordnance - Navy, Army, Air Force",,0,"370,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,Airborne Early Warning & Control,,0,"163,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,"Fuels and Lubricants - Navy, Army, Air Force",,0,"507,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,Anzac  class  frigate,,0,"224,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,Adelaide class frigate,,0,"89,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,Multi Role Helicopter,,0,"121,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,A rmed Reconnaissance Helicopter Weapons System,,0,"104,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,F/A-18F Block II Super Hornet Weapons System,,0,"123,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,P-3C/AP-3C Orion Weapons System,,0,"110,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,F/A-18A Hornet Weapons System,,0,"158,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,Colins Class Submarine,,0,"574,000",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Management of Capability Sustainment,Other,,5094973,"3,096,529",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Material Organisation,Provision of Policy Advice and Management Services,,,"111,093","112,901",,Defence Material Organisation PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_04_DMO.pdf
Defence portfolio,Defence Housing Australia,,,,"965,080","1,061,372",To contribute to Defence outcomes by providing total housing services that meet Defence operational and client needs through a strong customer and business focus,Defence Housing Australia PBS,http://www.defence.gov.au/budget/13-14/pbs/2013-2014_Defence_PBS_05_DHA.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Family Support,,,"296,778","221,333",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Family Tax Benefit,Family Tax Benefit Part A,,"14,307,551","14,353,170",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Family Tax Benefit,Family Tax Benefit Part B,,"4,528,809","4,636,855",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Family Tax Benefit,Schoolkids Bonus,,"1,407,431","1,272,988",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Family Tax Benefit,Other,,"26,696","17,597",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Parent and Baby Payments,Baby Bonus,,"806,986","364,523",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Parent and Baby Payments,Parental Leave Pay,,"1,446,991","1,579,588",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Parent and Baby Payments,Single Income Family Supplement,,"56,931","56,400",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Parent and Baby Payments,Dad and Partner Pay,,"34,707","72,312",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Families & Children,Parent and Baby Payments,Other,,"14,910","15,965",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Housing,Housing Assistance and Homelessness Prevention,,,"67,563","64,200",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Housing,Affordable Housing,,,"160,478","177,550",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Community Capability and the Vulnerable,Financial Management,,,"165,232","187,668","To improve the financial knowledge, skills, capabilities and financial  resilience of vulnerable individuals and families to alleviate the immediate impact of financial stress, and to progress initiatives in relation to problem gambling.","Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Community Capability and the Vulnerable,Community Investment,,,"62,837","66,179",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Community Capability and the Vulnerable,Income Support for Vulnerable People,,,"72,921","78,882",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Community Capability and the Vulnerable,Support for People in Special Circumstances,,,"9,630","6,887",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Community Capability and the Vulnerable,Supplementary Payments and Support for Income Support Recipients,,,"42,556","39,677",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Community Capability and the Vulnerable,Social and Community Services,,,"70,106","145,949",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Seniors,Income Support for Seniors,,,"36,578,786","39,469,194",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Seniors,"Allow ances, Concessions and Services for seniors",,,"239,531","317,244",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
"Families, Housing, Community Services and Indigenous Affairs portfolio",Disability and Carers,Targeted Community Care,,,"200,806","232,159",,"Families, Housing, Community Services and Indigenous Affairs Portfolio Budget Statement",http://www.fahcsia.gov.au/sites/default/files/documents/05_2013/fahcsia_portfolio_budget_statements_2013-14.pdf
